epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;87.7579;ÿםג.21;4.81968;1.32368;0.76129;0.17745;0.22388;0.13391;1.80745;2.99478;1.65235;0.000300194;0.000300194;0.000300194
2;138.242;2.05398;3.45417;1.28239;0.41897;0.24368;0.22192;0.13996;1.98308;פוג.72;1.84792;0.00059573;0.00059573;0.00059573
3;188.362;2.0149;2.96836;ÿםג.88;0.78873;0.24911;0.23356;0.15201;2.09699;7.74366;2.1788;0.000883766;0.000883766;0.000883766
4;239.555;2.0326;פוג.84;1.34739;0.66206;0.41586;0.2474;0.1486;1.97357;13.6766;1.96009;0.000875253;0.000875253;0.000875253
5;288.763;1.91894;2.24748;1.30041;0.38262;0.27233;0.27876;0.1758;2.08523;2.82633;2.20922;0.000864004;0.000864004;0.000864004
6;334.66;1.87397;2.02748;1.27903;0.44829;0.27444;0.29477;0.174;2.04011;2.13129;1.93143;0.000852756;0.000852756;0.000852756
7;384.426;1.82085;1.89457;1.23429;0.33503;0.39582;0.28889;0.17754;1.87635;2.48848;1.87508;0.000841507;0.000841507;0.000841507
8;434.518;1.81628;1.81912;1.24934;0.49445;0.34572;0.30645;0.16226;1.91232;2.73733;1.77363;0.000830258;0.000830258;0.000830258
9;481.236;1.79038;1.77826;1.22721;0.68184;0.35862;0.33112;0.19154;1.90766;4.01738;1.91654;0.000819009;0.000819009;0.000819009
10;528.963;1.71627;1.67028;1.20043;0.66541;0.39013;0.3567;0.21216;1.77335;2.10167;1.75271;0.00080776;0.00080776;0.00080776
11;584.449;1.72771;1.67239;1.20418;0.29654;0.36391;0.27444;0.18361;1.90735;פוג.39;1.87302;0.000796511;0.000796511;0.000796511
12;632.462;1.68799;1.55539;1.18106;0.41731;0.35047;0.33093;0.1985;1.74327;1.72631;1.78382;0.000785262;0.000785262;0.000785262
13;683.354;1.67595;1.50219;1.18763;0.56447;0.45097;0.36354;0.20156;1.83709;2.24074;1.74495;0.000774013;0.000774013;0.000774013
14;733.217;1.67789;1.53013;1.18447;0.30681;0.43786;0.32463;0.20409;1.66147;1.76282;1.59822;0.000762765;0.000762765;0.000762765
15;782.297;1.64544;1.51402;1.16592;0.33123;0.43789;0.3649;0.22088;1.62052;1.67309;1.64876;0.000751516;0.000751516;0.000751516
16;829.26;1.63912;1.49016;1.15655;0.74337;0.35106;0.36327;0.20635;1.72678;2.222;ÿםג.72;0.000740267;0.000740267;0.000740267
17;879.166;1.61296;1.43361;1.14834;0.44443;0.38404;0.37171;0.22647;1.68353;1.63974;1.68103;0.000729018;0.000729018;0.000729018
18;928.153;1.59291;1.41745;1.13953;0.39521;0.48169;0.39462;0.2268;1.80808;1.74125;1.73671;0.000717769;0.000717769;0.000717769
19;974.314;1.56484;1.41017;1.15519;0.38175;0.47969;0.35865;0.21412;ÿםג.29;1.79788;1.75721;0.00070652;0.00070652;0.00070652
20;1019.83;1.55142;1.36757;1.11579;0.69912;0.41747;0.38663;0.23875;1.70479;2.01743;1.72689;0.000695271;0.000695271;0.000695271
21;1067.43;1.54158;1.35953;1.12385;0.40618;0.43239;0.38229;0.24498;1.62522;ÿםג.56;1.70245;0.000684022;0.000684022;0.000684022
22;1115.9;1.52551;ÿםג.94;1.10796;0.4672;0.44088;0.42029;0.24574;1.60377;1.43758;1.66088;0.000672774;0.000672774;0.000672774
23;1161.27;1.51115;ÿםג.81;1.11947;0.5397;0.40876;0.40803;0.24529;1.61303;1.73858;1.69911;0.000661525;0.000661525;0.000661525
24;1211.92;1.53669;1.36186;1.13172;0.45923;0.40762;0.40143;0.23606;1.71115;1.63049;1.77033;0.000650276;0.000650276;0.000650276
25;1262.42;1.50227;1.297;1.10991;0.42053;0.39289;0.39242;0.23616;1.65673;1.68993;1.68348;0.000639027;0.000639027;0.000639027
26;1310.07;1.54588;1.32737;1.09396;0.51706;0.40212;0.41279;0.25178;1.73671;1.51439;1.75632;0.000627778;0.000627778;0.000627778
27;1363.75;1.48936;1.27681;1.10154;0.48967;0.44438;0.42129;0.25251;1.64451;1.44318;1.72616;0.000616529;0.000616529;0.000616529
28;1413.53;ÿםג.18;1.24776;1.10947;0.44709;0.39642;0.39993;0.24337;1.76306;1.42876;1.80335;0.00060528;0.00060528;0.00060528
29;1460.83;1.47175;1.22888;1.09552;0.72203;0.42315;0.40365;0.24429;1.61057;1.51218;1.72584;0.000594031;0.000594031;0.000594031
